Date,Price,Open,High,Low,Vol.,Change %
10/8/2020,"15,057.30","15,274.70","15,274.70","14,995.30",792.23K,-1.42%
10/7/2020,"15,274.70","15,460.90","15,460.90","15,243.60",653.96K,-1.20%
10/6/2020,"15,460.90","15,492.00","15,616.20","15,367.80",1.48M,0.81%
10/5/2020,"15,336.80","15,057.30","15,398.90","15,026.30",1.15M,1.86%
10/2/2020,"15,057.30","15,119.40","15,119.40","14,809.00",1.49M,-0.41%
10/1/2020,"15,119.40","15,088.40","15,150.50","15,057.30",580.40K,0.41%
9/30/2020,"15,057.30","15,119.40","15,150.50","14,902.10",872.14K,-0.61%
9/29/2020,"15,150.50","15,026.30","15,181.50","14,964.20",737.68K,0.83%
9/28/2020,"15,026.30","15,026.30","15,088.40","14,964.20",453.63K,0.00%
9/25/2020,"15,026.30","15,181.50","15,181.50","14,995.30",844.97K,-0.82%
9/24/2020,"15,150.50","15,243.60","15,274.70","15,026.30",896.25K,-0.61%
9/23/2020,"15,243.60","15,336.80","15,398.90","15,243.60",952.25K,-0.81%
9/22/2020,"15,367.80","15,119.40","15,492.00","15,119.40",1.53M,1.64%
9/21/2020,"15,119.40","15,119.40","15,150.50","15,088.40",1.15M,0.21%
9/18/2020,"15,088.40","14,995.30","15,119.40","14,995.30",530.65K,0.83%
9/17/2020,"14,964.20","15,150.50","15,150.50","14,902.10",1.17M,-1.23%
9/16/2020,"15,150.50","15,212.60","15,243.60","15,057.30",455.45K,-0.41%
9/15/2020,"15,212.60","15,212.60","15,305.70","15,212.60",923.85K,0.41%
9/14/2020,"15,150.50","15,026.30","15,181.50","14,995.30",680.83K,1.24%
9/11/2020,"14,964.20","14,871.10","15,026.30","14,777.90",1.21M,0.63%
9/10/2020,"14,871.10","15,150.50","15,150.50","14,871.10",1.16M,-1.03%
9/9/2020,"15,026.30","14,902.10","15,119.40","14,840.00",660.66K,-0.62%
9/8/2020,"15,119.40","15,088.40","15,150.50","14,933.20",677.24K,0.00%
9/7/2020,"15,119.40","15,492.00","15,492.00","15,119.40",859.51K,-2.40%
9/4/2020,"15,492.00","15,398.90","15,833.50","15,398.90",1.26M,-0.20%
9/3/2020,"15,523.00","15,243.60","15,523.00","15,243.60",1.88M,2.25%
9/1/2020,"15,181.50","15,119.40","15,212.60","15,026.30",792.68K,0.41%
8/31/2020,"15,119.40","15,212.60","15,274.70","15,057.30",906.49K,-0.61%
8/28/2020,"15,212.60","15,212.60","15,274.70","15,212.60",718.29K,-0.41%
8/27/2020,"15,274.70","15,088.40","15,305.70","15,088.40",886.49K,0.20%
8/26/2020,"15,243.60","15,274.70","15,336.80","14,995.30",610.19K,-0.20%
8/25/2020,"15,274.70","14,871.10","15,274.70","14,840.00",1.92M,2.93%
8/24/2020,"14,840.00","14,871.10","14,902.10","14,777.90",685.75K,0.21%
8/21/2020,"14,809.00","14,467.50","14,840.00","14,467.50",1.45M,2.36%
8/20/2020,"14,467.50","14,436.40","14,591.70","14,374.30",990.38K,0.00%
8/19/2020,"14,467.50","14,405.40","14,529.60","14,281.20",457.37K,1.62%
8/18/2020,"14,236.10","14,236.10","14,294.10","14,207.10",609.96K,0.00%
8/17/2020,"14,236.10","14,265.10","14,323.10","14,149.20",596.48K,0.00%
8/14/2020,"14,236.10","14,236.10","14,439.10","14,236.10",753.34K,0.00%
8/13/2020,"14,236.10","14,091.20","14,236.10","14,004.20",625.63K,1.66%
8/12/2020,"14,004.20","14,149.20","14,178.20","13,946.20",542.33K,-1.02%
8/11/2020,"14,149.20","14,207.10","14,265.10","13,975.20",473.17K,-0.41%
8/10/2020,"14,207.10","14,236.10","14,323.10","14,207.10",930.00K,-0.20%
8/7/2020,"14,236.10","14,352.10","14,352.10","14,178.20",555.07K,-0.81%
8/6/2020,"14,352.10","14,265.10","14,439.10","14,265.10",544.17K,0.00%
8/5/2020,"14,352.10","14,120.20","14,410.10","14,033.20",538.76K,1.64%
8/4/2020,"14,120.20","13,743.20","14,120.20","13,685.30",615.27K,3.18%
8/3/2020,"13,685.30","13,395.30","13,743.20","13,395.30",335.82K,3.28%
7/31/2020,"13,250.30","13,801.20","13,946.20","13,250.30",2.49M,-4.59%
7/30/2020,"13,888.20","13,685.30","13,888.20","13,685.30",462.13K,1.91%
7/29/2020,"13,627.30","13,627.30","13,627.30","13,279.30",449.36K,-0.84%
7/28/2020,"13,743.20","13,192.30","13,743.20","13,192.30",670.70K,3.04%
7/27/2020,"13,337.30","13,569.30","13,917.20","13,337.30",1.20M,-5.74%
7/24/2020,"14,149.20","14,381.10","14,381.10","13,888.20",1.78M,-1.61%
7/23/2020,"14,381.10","14,352.10","14,410.10","14,294.10",519.13K,0.20%
7/22/2020,"14,352.10","14,381.10","14,410.10","14,236.10",779.65K,0.00%
7/21/2020,"14,352.10","14,381.10","14,555.10","14,207.10",895.45K,0.61%
7/20/2020,"14,265.10","14,526.10","14,526.10","14,265.10",1.25M,-1.80%
7/17/2020,"14,526.10","14,700.00","14,700.00","14,468.10",618.75K,-1.18%
7/16/2020,"14,700.00","14,323.10","14,700.00","14,265.10",1.99M,3.47%
7/15/2020,"14,207.10","14,091.20","14,207.10","14,062.20",918.54K,1.24%
7/14/2020,"14,033.20","14,004.20","14,091.20","14,004.20",392.89K,0.00%
7/13/2020,"14,033.20","14,062.20","14,265.10","14,004.20",1.58M,0.21%
7/10/2020,"14,004.20","13,859.20","14,004.20","13,801.20",738.24K,0.62%
7/9/2020,"13,917.20","13,917.20","13,917.20","13,772.20",1.01M,0.00%
7/8/2020,"13,917.20","13,888.20","13,917.20","13,830.20",605.37K,-0.21%
7/7/2020,"13,946.20","14,004.20","14,004.20","13,917.20",459.35K,-0.41%
7/6/2020,"14,004.20","13,917.20","14,062.20","13,917.20",535.36K,0.62%
7/3/2020,"13,917.20","13,656.30","14,033.20","13,656.30",1.01M,2.13%
7/2/2020,"13,627.30","13,453.30","13,627.30","13,279.30",1.18M,0.86%
7/1/2020,"13,511.30","13,453.30","13,540.30","13,337.30",399.13K,0.43%
6/30/2020,"13,453.30","13,453.30","13,511.30","13,192.30",803.46K,0.00%
6/29/2020,"13,453.30","13,685.30","13,801.20","13,221.30",1.24M,-1.69%
6/26/2020,"13,685.30","13,801.20","13,830.20","13,656.30",1.04M,-1.05%
6/25/2020,"13,830.20","13,801.20","13,888.20","13,627.30",1.10M,-0.62%
6/24/2020,"13,917.20","13,975.20","14,033.20","13,801.20",1.18M,-0.41%
6/23/2020,"13,975.20","14,091.20","14,091.20","13,859.20",1.52M,-0.62%
6/22/2020,"14,062.20","14,207.10","14,207.10","13,888.20",957.19K,-0.21%
6/19/2020,"14,091.20","13,598.30","14,149.20","13,598.30",1.48M,3.85%
6/18/2020,"13,569.30","13,366.30","13,627.30","13,366.30",621.02K,0.43%
6/17/2020,"13,511.30","13,540.30","13,540.30","13,453.30",505.84K,0.00%
6/16/2020,"13,511.30","13,395.30","13,511.30","13,395.30",622.27K,1.30%
6/15/2020,"13,337.30","13,511.30","13,569.30","13,221.30",1.06M,-0.86%
6/12/2020,"13,453.30","13,279.30","13,482.30","13,163.40",1.63M,-0.64%
