"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2016","4,932.8","4,968.5","4,974.4","4,926.9","30.83M","1.34%"
"11/09/2016","4,867.4","4,932.8","4,932.8","4,695.1","76.29M","-1.33%"
"11/08/2016","4,932.8","4,909.1","4,968.5","4,897.2","37.85M","0.97%"
"11/07/2016","4,885.3","4,748.6","4,897.2","4,718.9","33.42M","3.79%"
"11/04/2016","4,707.0","4,695.1","4,730.8","4,683.2","12.33M","0.76%"
"11/03/2016","4,671.3","4,695.1","4,695.1","4,617.8","27.70M","-0.51%"
"11/02/2016","4,695.1","4,802.1","4,802.1","4,695.1","22.77M","-2.23%"
"11/01/2016","4,802.1","4,814.0","4,891.2","4,802.1","12.32M","-0.86%"
"10/31/2016","4,843.7","4,885.3","4,885.3","4,778.3","17.97M","-0.12%"
"10/28/2016","4,849.6","4,701.0","4,885.3","4,701.0","27.69M","3.16%"
"10/27/2016","4,701.0","4,707.0","4,724.8","4,665.4","13.24M","0.00%"
"10/26/2016","4,701.0","4,707.0","4,748.6","4,641.6","20.68M","-0.13%"
"10/25/2016","4,707.0","4,778.3","4,790.2","4,665.4","27.35M","-1.49%"
"10/24/2016","4,778.3","4,873.4","4,897.2","4,778.3","23.32M","-1.95%"
"10/21/2016","4,873.4","4,885.3","4,920.9","4,861.5","17.98M","-0.36%"
"10/20/2016","4,891.2","4,920.9","4,944.7","4,861.5","12.94M","-0.24%"
"10/19/2016","4,903.1","4,873.4","4,980.4","4,843.7","29.38M","1.35%"
"10/18/2016","4,837.7","4,707.0","4,843.7","4,707.0","31.91M","2.26%"
"10/17/2016","4,730.8","4,778.3","4,849.6","4,730.8","22.10M","-1.49%"
"10/14/2016","4,802.1","4,873.4","4,956.6","4,802.1","35.45M","-2.18%"
"10/13/2016","4,909.1","4,778.3","4,938.8","4,718.9","38.38M","1.23%"
"10/12/2016","4,849.6","5,016.0","5,063.6","4,825.8","50.97M","-2.63%"
"10/11/2016","4,980.4","4,671.3","4,980.4","4,671.3","71.47M","6.89%"
"10/10/2016","4,659.4","4,873.4","4,885.3","4,659.4","48.09M","-4.62%"
"10/07/2016","4,885.3","5,099.2","5,146.8","4,814.0","98.02M","-4.20%"
"10/06/2016","5,099.2","5,170.6","5,194.3","5,057.6","45.74M","-1.61%"
"10/05/2016","5,182.4","5,230.0","5,253.8","5,176.5","40.48M","-0.80%"
"10/04/2016","5,224.0","5,253.8","5,325.1","5,123.0","102.09M","-1.24%"
"10/03/2016","5,289.4","5,432.0","5,467.7","5,289.4","54.28M","-2.63%"
"09/30/2016","5,432.0","5,473.7","5,527.1","5,420.2","57.19M","-1.51%"
"09/29/2016","5,515.3","5,550.9","5,586.6","5,491.5","27.93M","-0.64%"
"09/28/2016","5,550.9","5,527.1","5,586.6","5,497.4","26.98M","0.97%"
"09/27/2016","5,497.4","5,455.8","5,509.3","5,443.9","28.14M","0.65%"
"09/26/2016","5,461.8","5,443.9","5,497.4","5,366.7","23.30M","0.11%"
"09/23/2016","5,455.8","5,491.5","5,515.3","5,455.8","24.85M","-0.65%"
"09/22/2016","5,491.5","5,479.6","5,550.9","5,432.0","34.94M","1.32%"
"09/21/2016","5,420.2","5,396.4","5,491.5","5,348.8","24.29M","0.33%"
"09/20/2016","5,402.3","5,384.5","5,432.0","5,342.9","24.55M","-0.33%"
"09/19/2016","5,420.2","5,348.8","5,461.8","5,337.0","34.95M","2.47%"
"09/16/2016","5,289.4","5,253.8","5,313.2","5,235.9","73.17M","0.68%"
"09/15/2016","5,253.8","5,158.7","5,289.4","5,158.7","24.47M","1.38%"
"09/14/2016","5,182.4","5,152.7","5,224.0","5,152.7","11.62M","-0.23%"
"09/13/2016","5,194.3","5,111.1","5,241.9","5,111.1","27.65M","1.63%"
"09/12/2016","5,111.1","5,212.2","5,218.1","5,105.2","26.02M","-2.93%"
"09/09/2016","5,265.6","5,337.0","5,348.8","5,241.9","24.14M","-1.34%"
"09/08/2016","5,337.0","5,230.0","5,372.6","5,182.4","44.92M","2.05%"
"09/07/2016","5,230.0","5,027.9","5,230.0","4,980.4","36.71M","4.02%"
"09/06/2016","5,027.9","5,016.0","5,075.5","5,004.1","27.18M","0.71%"
"09/05/2016","4,992.3","5,063.6","5,075.5","4,980.4","29.39M","-0.94%"
"09/01/2016","5,039.8","5,087.3","5,087.3","5,016.0","18.51M","-0.93%"
"08/31/2016","5,087.3","5,027.9","5,099.2","5,016.0","24.51M","2.15%"
"08/30/2016","4,980.4","4,897.2","4,992.3","4,861.5","24.88M","0.96%"
"08/29/2016","4,932.8","5,051.7","5,075.5","4,932.8","39.85M","-2.58%"
"08/26/2016","5,063.6","5,111.1","5,123.0","5,051.7","18.68M","-0.93%"
"08/25/2016","5,111.1","5,039.8","5,111.1","5,016.0","47.56M","4.11%"
"08/24/2016","4,909.6","4,979.7","5,059.9","4,899.5","54.17M","-0.61%"
"08/23/2016","4,939.6","4,849.5","4,939.6","4,849.5","32.83M","1.65%"
"08/22/2016","4,859.5","4,819.4","4,879.5","4,809.4","25.63M","0.62%"
"08/19/2016","4,829.4","4,899.5","4,929.6","4,829.4","34.09M","-1.23%"
"08/18/2016","4,889.5","4,919.6","4,979.7","4,869.5","38.37M","0.41%"
"08/17/2016","4,869.5","4,719.2","4,909.6","4,719.2","43.82M","3.40%"
"08/16/2016","4,709.2","4,679.1","4,769.3","4,659.1","33.54M","1.51%"
"08/15/2016","4,639.0","4,588.9","4,639.0","4,568.9","42.63M","1.09%"
"08/12/2016","4,588.9","4,709.2","4,729.2","4,578.9","42.54M","-0.43%"
"08/11/2016","4,609.0","4,538.8","4,629.0","4,538.8","36.65M","1.55%"
"08/10/2016","4,538.8","4,358.5","4,609.0","4,358.5","53.17M","4.62%"
"08/09/2016","4,338.5","4,278.3","4,338.5","4,278.3","21.92M","1.17%"
"08/08/2016","4,288.4","4,328.4","4,358.5","4,278.3","18.45M","-0.70%"
"08/05/2016","4,318.4","4,258.3","4,318.4","4,228.2","44.69M","1.17%"
"08/04/2016","4,268.3","4,368.5","4,378.5","4,268.3","28.73M","-1.39%"
"08/03/2016","4,328.4","4,258.3","4,328.4","4,248.3","28.44M","1.17%"
"08/02/2016","4,278.3","4,368.5","4,388.6","4,278.3","59.38M","-3.17%"
"08/01/2016","4,418.6","4,468.7","4,468.7","4,358.5","43.37M","-0.90%"
"07/29/2016","4,458.7","4,478.7","4,488.7","4,408.6","57.70M","-0.22%"
"07/28/2016","4,468.7","4,338.5","4,488.7","4,338.5","55.02M","3.24%"
"07/27/2016","4,328.4","4,308.4","4,348.5","4,248.3","68.14M","2.13%"
"07/26/2016","4,238.3","4,098.0","4,238.3","4,077.9","46.51M","3.42%"
"07/25/2016","4,098.0","4,067.9","4,138.1","4,017.8","35.11M","1.74%"
"07/22/2016","4,027.8","4,108.0","4,108.0","3,907.6","48.39M","-2.43%"
"07/21/2016","4,128.0","4,128.0","4,188.2","4,108.0","26.89M","0.24%"
"07/20/2016","4,118.0","4,198.2","4,228.2","4,118.0","25.43M","-2.14%"
"07/19/2016","4,208.2","4,308.4","4,308.4","4,108.0","41.41M","-0.71%"
"07/18/2016","4,238.3","4,067.9","4,288.4","4,057.9","55.80M","4.19%"
"07/15/2016","4,067.9","4,017.8","4,077.9","3,937.7","34.74M","1.00%"
"07/14/2016","4,027.8","4,178.1","4,188.2","4,027.8","47.93M","-3.37%"
"07/13/2016","4,168.1","4,158.1","4,208.2","4,158.1","34.92M","1.22%"
"07/12/2016","4,118.0","4,088.0","4,148.1","4,027.8","51.71M","1.48%"
"07/11/2016","4,057.9","4,278.3","4,298.4","4,057.9","48.13M","-5.15%"
"07/08/2016","4,278.3","4,308.4","4,328.4","4,198.2","53.64M","-0.23%"
"07/07/2016","4,288.4","4,198.2","4,308.4","4,158.1","34.31M","4.39%"
"07/06/2016","4,108.0","4,017.8","4,108.0","3,987.8","46.21M","1.99%"
"07/05/2016","4,027.8","4,037.9","4,088.0","4,017.8","45.94M","0.75%"
"07/04/2016","3,997.8","4,007.8","4,027.8","3,977.8","38.77M","0.25%"
"07/01/2016","3,987.8","3,987.8","4,047.9","3,977.8","52.75M","0.51%"
"06/30/2016","3,967.7","3,987.8","4,037.9","3,957.7","32.05M","0.76%"
"06/29/2016","3,937.7","3,887.6","3,977.8","3,877.6","41.55M","1.55%"
"06/28/2016","3,877.6","3,867.5","3,937.7","3,857.5","17.06M","-0.77%"
"06/27/2016","3,907.6","3,837.5","3,907.6","3,777.4","29.89M","0.52%"
"06/24/2016","3,887.6","3,997.8","4,007.8","3,737.3","113.53M","-3.24%"
"06/23/2016","4,017.8","3,957.7","4,037.9","3,957.7","37.48M","1.26%"
"06/22/2016","3,967.7","3,927.7","3,997.8","3,907.6","21.31M","1.02%"
"06/21/2016","3,927.7","3,887.6","3,977.8","3,887.6","33.66M","2.08%"
"06/20/2016","3,847.5","3,807.4","3,847.5","3,777.4","15.36M","2.67%"
"06/17/2016","3,747.3","3,797.4","3,837.5","3,747.3","52.76M","-1.84%"
"06/16/2016","3,817.4","3,807.4","3,877.6","3,807.4","26.23M","0.26%"
"06/15/2016","3,807.4","3,797.4","3,877.6","3,767.3","19.85M","0.26%"
"06/14/2016","3,797.4","3,647.1","3,797.4","3,627.1","32.10M","3.84%"
"06/13/2016","3,657.1","3,697.2","3,697.2","3,637.1","27.30M","-1.35%"
"06/10/2016","3,707.2","3,687.2","3,757.3","3,677.2","22.74M","0.82%"
"06/09/2016","3,677.2","3,727.3","3,727.3","3,657.1","27.65M","-0.54%"
"06/08/2016","3,697.2","3,677.2","3,747.3","3,657.1","34.72M","1.65%"
