Date,Price,Open,High,Low,Vol.,Change %,Ticker,WCP,WAP,VWAP,ZLMA,FWMA,Decay,SMA,Bollinger_Upper,Bollinger_Lower,Avg_Gain,Avg_Loss,RSI,MACD,MACD_Signal,MACD_Hist
2016-04-05,8761.8,8724.5,8799.1,8705.9,1160000.0,0.0043,FPT,8757.15,8755.6,9028.704251700681,8861.696518681685,8770.322625635234,8981.083866677975,8964.984999999999,9246.582138704036,8683.387861295962,18.343099388116926,29.796183507997867,38.10422234103814,-45.38681286358042,-0.9520276619032533,-44.434785201677165
2016-04-06,8836.4,8761.8,8836.4,8743.1,1160000.0,0.0085,FPT,8813.075,8805.300000000001,9026.448716583865,8853.47963580594,8795.559966120836,8976.708454609425,8959.395,9246.774415261036,8672.015584738965,22.361449431822887,27.667884685998022,44.6966761123801,-44.31577985058357,-9.624778099639316,-34.69100175094425
2016-04-07,8910.9,8855.0,8929.6,8836.4,1960000.0,0.0084,FPT,8896.95,8892.300000000001,9022.897255244756,8860.113165825513,8839.614421230943,8972.78805355808,8955.665,9243.55384751984,8667.776152480163,26.085631615264113,25.691607208426735,50.38049963245346,-37.02860834637613,-15.10554414898668,-21.92306419738945
2016-04-08,8873.6,8873.6,8948.2,8873.6,1260000.0,-0.0042,FPT,8892.25,8898.466666666667,9018.029381691327,8859.23754603813,8852.5931959345,8966.600274267937,8947.275,9234.42296387556,8660.127036124439,24.22237221417382,26.52077812211049,47.735255012051184,-33.87280607560024,-18.858996534309394,-15.013809541290843
2016-04-11,8929.6,8910.9,8985.5,8855.0,3290000.0,0.0063,FPT,8924.925,8923.366666666667,9004.527035274014,8868.809770692556,8882.003054771316,8957.79502235492,8939.82,9220.264989258118,8659.375010741882,26.492202770304264,24.626436827674027,51.824937006641335,-26.54706006772176,-20.396609240991868,-6.150450826729891
2016-04-12,8892.3,8948.2,8948.2,8855.0,1590000.0,-0.0042,FPT,8896.95,8898.5,8998.384404122693,8870.43048275033,8885.93358554489,8952.424478280307,8932.365000000002,9209.345989467332,8655.38401053267,24.59990257242539,25.531691339983105,49.07065714967514,-23.48048345108873,-21.013384083011243,-2.4670993680774878
2016-04-13,8873.6,8873.6,8910.9,8855.0,2290000.0,-0.0021,FPT,8878.275000000001,8879.833333333334,8991.581102313876,8868.563260804422,8881.21788255223,8944.718427434804,8923.975,9197.189616816326,8650.760383183675,22.842766674395005,25.04371338712709,47.701912199534796,-22.30204896852956,-21.271117060114907,-1.0309319084146544
2016-04-14,8855.0,8855.0,8910.9,8855.0,2310000.0,-0.0021,FPT,8868.975,8873.633333333333,8983.035231755424,8863.706298977459,8871.201259175608,8935.337648021263,8914.655,9183.688846236937,8645.621153763064,21.21114048336679,24.583448145189468,46.31800638152277,-22.608380368592407,-21.538569721810408,-1.069810646781999
2016-04-15,8799.1,8873.6,8892.3,8799.1,2880000.0,-0.0063,FPT,8822.400000000001,8830.166666666666,8923.980418183115,8849.510860393688,8843.652992659514,8889.636494289742,8895.079999999998,9134.968110760406,8655.19188923959,19.696059020269164,26.820344706247337,42.34217919353362,-27.049997501193502,-22.640855277687027,-4.409142223506475
2016-04-19,8761.8,8799.1,8855.0,8761.8,2200000.0,-0.0042,FPT,8785.099999999999,8792.866666666667,8901.93411509229,8830.666876787529,8812.378023715415,8869.842250900474,8874.575,9082.86128956569,8666.288710434312,18.28919766167851,27.568891512944035,39.8821625385115,-33.19713345977107,-24.752110914103834,-8.445022545667232
2016-04-20,8780.4,8761.8,8799.1,8743.1,3550000.0,0.0021,FPT,8775.75,8774.199999999999,8881.368352816153,8817.99080969235,8800.15678147939,8852.906981376414,8859.66,9048.184949067869,8671.135050932131,18.3113978287015,25.599684976305177,41.70108468974867,-36.151190026064796,-27.03192673649603,-9.119263289568767
2016-04-21,8817.7,8817.7,8855.0,8780.4,2000000.0,0.0042,FPT,8817.7,8817.7,8868.538690348812,8814.039736086615,8806.852535290796,8844.2103495997,8846.61,9005.022478243187,8688.197521756814,19.667726555222902,23.771136049426236,45.276799105504026,-35.07814385975871,-28.64117016114857,-6.436973698610142
2016-04-22,8910.9,8817.7,8910.9,8780.4,3350000.0,0.0106,FPT,8878.275,8867.4,8855.12866010274,8827.745639678415,8846.590750988142,8844.48371211345,8841.015000000001,8979.930457440058,8702.099542559945,24.920031801278334,22.073197760181504,53.028983182964275,-26.402929411973673,-28.193522011313593,1.79059259933992
2016-04-25,8929.6,8948.2,9004.1,8910.9,2270000.0,0.0021,FPT,8943.55,8948.199999999999,8850.926930871425,8843.111736363055,8878.298633540371,8846.298430075325,8841.015000000001,8979.930457440058,8702.099542559945,24.475743815472793,20.4965407773114,54.424061479411534,-17.81348299947058,-26.117514208944993,8.304031209474413
2016-04-26,8929.6,8929.6,8948.2,8855.0,1350000.0,0.0,FPT,8915.6,8910.933333333334,8848.735817852288,8856.474806561928,8897.89211744777,8848.151080077096,8840.085,8976.199909272666,8703.970090727333,22.72747640008188,19.032502150360585,54.424061479411534,-10.880857086545802,-23.070182784465157,12.189325697919354
2016-04-27,8892.3,8948.2,8966.8,8855.0,2390000.0,-0.0042,FPT,8901.599999999999,8904.699999999999,8849.697690071898,8861.310564193549,8895.757329192547,8851.58092049387,8841.95,8979.934674969021,8703.96532503098,21.10408522864746,20.337323425334908,50.92511551636031,-8.30081277201316,-20.11630878197476,11.815496009961599
2016-04-28,9022.8,8948.2,9190.6,8892.3,12140000.0,0.0147,FPT,9032.125,9035.233333333334,8891.427230663414,8889.223639586387,8944.286273291924,8905.499716305496,8850.34,9010.318609096377,8690.361390903623,28.918079140886924,18.884657466382414,60.494610127591244,4.225442035918604,-15.247958618396087,19.47340065431469
2016-04-29,9060.1,9022.8,9078.7,9004.1,2480000.0,0.0040999999999999,FPT,9050.75,9047.633333333333,8901.30573180652,8920.05113541058,8988.528667419536,8918.512903433213,8864.325,9045.99186544329,8682.658134556712,29.516787773680793,17.535753361640815,62.73154873568136,16.9668047254836,-8.80500594962015,25.771810675103747
2016-05-04,8966.8,8985.5,9004.1,8892.3,3110000.0,-0.0103,FPT,8957.5,8954.4,8910.589300639134,8929.6314561609,8980.233958215698,8926.262723879681,8876.439999999999,9051.024118165938,8701.855881834059,27.40844578984645,22.947485264380834,54.42942909809542,19.313264898497437,-3.181351779996632,22.49461667849407
2016-05-05,8910.9,8929.6,9022.8,8910.9,3670000.0,-0.0062,FPT,8938.875,8948.199999999999,8917.818785085386,8927.670390324667,8953.755285149633,8927.572536746411,8885.76,9045.458827072745,8726.061172927255,25.450699662000275,25.301236316925035,50.14724891000937,16.47230617481,0.7493798109646943,15.722926363845307
2016-05-06,8855.0,8910.9,8948.2,8855.0,2800000.0,-0.0063,FPT,8878.3,8886.066666666668,8919.528825724949,8915.772371439909,8916.036092603048,8924.23096838283,8890.420000000002,9040.007806989706,8740.832193010297,23.63279254328597,27.486862294287505,46.23034450912533,9.59950596480121,2.5194050417319973,7.080100923069213
2016-05-09,8799.1,8873.6,8910.9,8799.1,2450000.0,-0.0063,FPT,8827.05,8836.366666666667,8918.328255252218,8895.340910435018,8871.371349520045,8917.514407547204,8888.554999999998,9041.862430725905,8735.247569274092,21.94473593305126,29.5163721304098,42.64334127043931,-0.35382190303789685,1.9447596527780187,-2.2985815558159155
2016-05-10,8817.7,8780.4,8855.0,8761.8,1880000.0,0.0021,FPT,8813.05,8811.5,8915.800044999436,8881.117053145888,8850.867605872389,8912.866483856818,8883.895,9039.98328102607,8727.80671897393,21.705826223547625,27.408059835380527,44.194886548998376,-6.664220410284543,0.2229636401655064,-6.887184050450049
2016-05-11,8892.3,8892.3,8910.9,8817.7,1170000.0,0.0085,FPT,8878.3,8873.633333333333,8915.335367021575,8882.431155880673,8866.694754376058,8912.700535589047,8884.829999999998,9040.882651033955,8728.777348966041,25.483981493294117,25.45034127571049,50.033023132295476,-5.581322142055797,-0.9378935162787543,-4.643428625777043
2016-05-12,8836.4,8929.6,8929.6,8836.4,1670000.0,-0.0063,FPT,8859.7,8867.466666666667,8913.487170576309,8873.455796388009,8855.120801806888,8908.68625169471,8880.170000000002,9036.159771594472,8724.180228405532,23.663697100915968,27.625316898873997,46.137945059760504,-9.128552021453288,-2.5760252173136613,-6.552526804139626
2016-05-13,8836.4,8855.0,8873.6,8799.1,1590000.0,0.0,FPT,8836.375,8836.366666666667,8911.770541558064,8865.77251302655,8847.968690005646,8905.744222101004,8877.375,9034.44908744716,8720.30091255284,21.973433022279114,25.652079977525855,46.137945059760504,-11.803691647517553,-4.42155850335444,-7.382133144163113
2016-05-16,8817.7,8836.4,8855.0,8799.1,1250000.0,-0.0021,FPT,8822.375,8823.933333333332,8911.12180145107,8855.82431496398,8836.40578769057,8903.320944596862,8874.579999999998,9033.91010552405,8715.249894475946,20.403902092116322,25.15550283627393,44.78526908809924,-15.256821649163612,-6.588611132516275,-8.668210516647338
