Date,Price,Open,High,Low,Vol.,Change %,Ticker
1/14/2020,"8,665.10","8,405.20","8,682.40","8,387.80",26590000.0,3.09%,HPG
1/13/2020,"8,405.20","8,387.80","8,457.20","8,353.20",12390000.0,0.21%,HPG
1/10/2020,"8,387.80","8,353.20","8,509.10","8,335.80",27820000.0,0.83%,HPG
1/9/2020,"8,318.50","8,179.90","8,370.50","8,179.90",12820000.0,2.35%,HPG
1/8/2020,"8,127.90","8,145.20","8,197.20","8,023.90",17850000.0,-1.05%,HPG
1/7/2020,"8,214.50","8,353.20","8,387.80","8,179.90",13540000.0,-1.25%,HPG
1/6/2020,"8,318.50","8,318.50","8,405.20","8,266.50",14930000.0,-0.62%,HPG
1/3/2020,"8,370.50","8,387.80","8,439.80","8,335.80",21770000.0,0.63%,HPG
1/2/2020,"8,318.50","8,145.20","8,318.50","8,093.20",11770000.0,2.13%,HPG
12/31/2019,"8,145.20","8,197.20","8,214.50","8,093.20",8000000.0,-0.63%,HPG
12/30/2019,"8,197.20","8,197.20","8,266.50","8,145.20",8170000.0,0.42%,HPG
12/27/2019,"8,162.50","7,971.90","8,162.50","7,919.90",11620000.0,2.39%,HPG
12/26/2019,"7,971.90","8,075.90","8,075.90","7,971.90",8360000.0,-0.65%,HPG
12/25/2019,"8,023.90","8,041.20","8,110.60","8,023.90",6610000.0,-0.22%,HPG
12/24/2019,"8,041.20","7,989.20","8,075.90","7,954.60",8950000.0,0.65%,HPG
12/23/2019,"7,989.20","8,023.90","8,145.20","7,954.60",11140000.0,0.22%,HPG
12/20/2019,"7,971.90","7,954.60","8,058.60","7,902.60",15050000.0,0.88%,HPG
12/19/2019,"7,902.60","7,815.90","8,006.60","7,815.90",15990000.0,1.11%,HPG
12/18/2019,"7,815.90","8,023.90","8,023.90","7,798.60",21090000.0,-2.59%,HPG
12/17/2019,"8,023.90","8,231.90","8,266.50","7,937.20",27430000.0,-2.53%,HPG
12/16/2019,"8,231.90","8,249.20","8,283.90","8,162.50",14230000.0,-0.21%,HPG
12/13/2019,"8,249.20","8,387.80","8,491.80","8,249.20",26340000.0,-1.65%,HPG
12/12/2019,"8,387.80","8,422.50","8,457.20","8,353.20",11540000.0,-0.82%,HPG
12/11/2019,"8,457.20","8,422.50","8,457.20","8,283.90",15020000.0,0.00%,HPG
12/10/2019,"8,457.20","8,387.80","8,509.10","8,353.20",28250000.0,0.83%,HPG
12/9/2019,"8,387.80","8,266.50","8,474.50","8,266.50",21970000.0,1.47%,HPG
12/6/2019,"8,266.50","8,006.60","8,283.90","8,006.60",19810000.0,3.25%,HPG
12/5/2019,"8,006.60","8,093.20","8,127.90","7,989.20",14410000.0,-1.49%,HPG
12/4/2019,"8,127.90","8,110.60","8,179.90","8,093.20",13660000.0,0.00%,HPG
12/3/2019,"8,127.90","7,954.60","8,214.50","7,867.90",25940000.0,2.18%,HPG
12/2/2019,"7,954.60","7,919.90","8,041.20","7,919.90",25290000.0,0.44%,HPG
11/29/2019,"7,919.90","7,833.30","7,954.60","7,781.30",17620000.0,1.11%,HPG
11/28/2019,"7,833.30","7,833.30","7,867.90","7,781.30",10440000.0,0.00%,HPG
11/27/2019,"7,833.30","7,885.30","7,902.60","7,815.90",9800000.0,-0.22%,HPG
11/26/2019,"7,850.60","7,746.60","7,902.60","7,746.60",15260000.0,1.80%,HPG
11/25/2019,"7,712.00","7,677.30","7,746.60","7,625.30",11770000.0,0.68%,HPG
11/22/2019,"7,660.00","7,694.60","7,746.60","7,625.30",16030000.0,0.45%,HPG
11/21/2019,"7,625.30","7,729.30","7,746.60","7,625.30",20850000.0,-1.79%,HPG
11/20/2019,"7,763.90","7,902.60","7,902.60","7,712.00",19350000.0,-1.75%,HPG
11/19/2019,"7,902.60","7,954.60","7,954.60","7,867.90",11590000.0,-0.44%,HPG
11/18/2019,"7,937.20","7,867.90","7,971.90","7,867.90",10660000.0,1.10%,HPG
11/15/2019,"7,850.60","7,850.60","7,902.60","7,815.90",9540000.0,0.00%,HPG
11/14/2019,"7,850.60","7,850.60","7,919.90","7,798.60",15360000.0,0.00%,HPG
11/13/2019,"7,850.60","8,006.60","8,023.90","7,850.60",18110000.0,-1.52%,HPG
11/12/2019,"7,971.90","7,885.30","8,006.60","7,815.90",18220000.0,0.88%,HPG
11/11/2019,"7,902.60","7,833.30","8,006.60","7,833.30",22240000.0,0.44%,HPG
11/8/2019,"7,867.90","7,867.90","7,902.60","7,798.60",14680000.0,0.00%,HPG
11/7/2019,"7,867.90","7,677.30","7,885.30","7,660.00",36810000.0,3.18%,HPG
11/6/2019,"7,625.30","7,625.30","7,677.30","7,608.00",12580000.0,0.46%,HPG
11/5/2019,"7,590.60","7,556.00","7,677.30","7,538.70",15340000.0,0.69%,HPG
11/4/2019,"7,538.70","7,660.00","7,694.60","7,521.30",16790000.0,-0.68%,HPG
11/1/2019,"7,590.60","7,590.60","7,660.00","7,556.00",11290000.0,0.46%,HPG
10/31/2019,"7,556.00","7,625.30","7,642.60","7,521.30",16030000.0,-0.91%,HPG
10/30/2019,"7,625.30","7,712.00","7,712.00","7,625.30",8520000.0,-0.90%,HPG
10/29/2019,"7,694.60","7,694.60","7,781.30","7,660.00",14860000.0,0.00%,HPG
10/28/2019,"7,694.60","7,556.00","7,729.30","7,504.00",20240000.0,1.83%,HPG
10/25/2019,"7,556.00","7,625.30","7,625.30","7,538.70",6610000.0,-0.91%,HPG
10/24/2019,"7,625.30","7,590.60","7,660.00","7,573.30",14300000.0,0.69%,HPG
10/23/2019,"7,573.30","7,486.70","7,660.00","7,486.70",19170000.0,1.16%,HPG
10/22/2019,"7,486.70","7,348.00","7,504.00","7,348.00",11390000.0,1.89%,HPG
10/21/2019,"7,348.00","7,417.30","7,434.70","7,348.00",8810000.0,-0.93%,HPG
10/18/2019,"7,417.30","7,469.30","7,469.30","7,382.70",6360000.0,0.00%,HPG
10/17/2019,"7,417.30","7,382.70","7,504.00","7,382.70",13430000.0,0.47%,HPG
10/16/2019,"7,382.70","7,417.30","7,452.00","7,382.70",7290000.0,-0.23%,HPG
10/15/2019,"7,400.00","7,452.00","7,521.30","7,400.00",10040000.0,-0.47%,HPG
10/14/2019,"7,434.70","7,521.30","7,521.30","7,434.70",8220000.0,-0.23%,HPG
10/11/2019,"7,452.00","7,486.70","7,521.30","7,417.30",11530000.0,0.00%,HPG
10/10/2019,"7,452.00","7,590.60","7,660.00","7,452.00",10940000.0,-1.83%,HPG
10/9/2019,"7,590.60","7,590.60","7,590.60","7,521.30",8570000.0,0.00%,HPG
10/8/2019,"7,590.60","7,417.30","7,590.60","7,365.40",11060000.0,2.82%,HPG
10/7/2019,"7,382.70","7,400.00","7,452.00","7,348.00",9230000.0,-0.23%,HPG
10/4/2019,"7,400.00","7,486.70","7,521.30","7,382.70",13280000.0,-0.93%,HPG
10/3/2019,"7,469.30","7,521.30","7,521.30","7,434.70",12670000.0,-0.92%,HPG
10/2/2019,"7,538.70","7,625.30","7,642.60","7,521.30",12130000.0,-0.68%,HPG
10/1/2019,"7,590.60","7,608.00","7,694.60","7,573.30",11300000.0,-0.23%,HPG
9/30/2019,"7,608.00","7,694.60","7,712.00","7,608.00",9510000.0,-0.90%,HPG
9/27/2019,"7,677.30","7,712.00","7,781.30","7,677.30",8870000.0,-0.45%,HPG
9/26/2019,"7,712.00","7,625.30","7,712.00","7,521.30",9270000.0,1.60%,HPG
9/25/2019,"7,590.60","7,660.00","7,660.00","7,538.70",11010000.0,-1.13%,HPG
9/24/2019,"7,677.30","7,608.00","7,677.30","7,573.30",5520000.0,0.68%,HPG
9/23/2019,"7,625.30","7,833.30","7,833.30","7,625.30",14890000.0,-2.87%,HPG
9/20/2019,"7,850.60","7,954.60","7,954.60","7,815.90",14180000.0,-1.31%,HPG
9/19/2019,"7,954.60","7,971.90","7,989.20","7,867.90",9470000.0,-0.22%,HPG
9/18/2019,"7,971.90","7,867.90","7,989.20","7,833.30",17100000.0,1.32%,HPG
9/17/2019,"7,867.90","7,850.60","7,867.90","7,763.90",10000000.0,0.22%,HPG
9/16/2019,"7,850.60","7,781.30","7,850.60","7,712.00",15010000.0,0.22%,HPG
9/13/2019,"7,833.30","7,798.60","7,850.60","7,763.90",12970000.0,0.22%,HPG
9/12/2019,"7,815.90","7,677.30","7,833.30","7,677.30",15470000.0,2.27%,HPG
9/11/2019,"7,642.60","7,382.70","7,642.60","7,365.40",13070000.0,3.52%,HPG
